mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.035719442367553714,0.010697828865638755,0.004178571701049805,0.004744060908690471,10,2,50,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 50}",-1.3118794509540455,-0.9657706903795228,-1.522419460460987,-1.1638868469584651,-0.8977328902946659,-1.1723378678095373,0.22811325571330687,8
0.06697516441345215,0.0049620176843766925,0.0020773887634277345,0.0003655232053970273,10,2,100,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}",-1.314917251146206,-0.9760353674039732,-1.5332804834336418,-1.0953683870265725,-0.91234765409891,-1.1663898286218606,0.2291224303022807,5
0.027711200714111327,0.006734451210952661,0.0013225555419921875,0.0006007404016395688,10,5,50,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 50}",-1.2470724597444465,-0.932246250439787,-1.5079944528265743,-1.1325404832890182,-0.9489084372380069,-1.1537524167075666,0.21244859817145087,2
0.04505629539489746,0.005040881415106961,0.0019373416900634766,0.00037759835246606224,10,5,100,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}",-1.2568566124268015,-0.9494184893531278,-1.5185780172988181,-1.052046803136998,-0.920995322134681,-1.1395790488700854,0.22315735390807134,1
0.023773622512817384,0.005229078906090137,0.0011249542236328124,0.00012593463439774564,20,2,50,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 50}",-1.3539863643664942,-0.979273189622992,-1.544039768971968,-1.2169412152797927,-0.9248518548713122,-1.203818478622512,0.230961507837243,11
0.04477968215942383,0.0056835970214376245,0.0019946575164794924,0.00030521051388024986,20,2,100,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 100}",-1.3531866583823169,-0.9785953434536239,-1.5461881459099789,-1.1477378377872636,-0.945747821726437,-1.194291161451924,0.22783544771765007,9
0.02366981506347656,0.005884056614958601,0.0016823291778564453,0.0008242187232211652,20,5,50,"{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 50}",-1.2713899752769509,-0.9512320487440072,-1.5161023109778418,-1.1288921882420717,-0.9656783736745174,-1.1666589793830777,0.210384182069665,6
0.04888405799865723,0.007541088765815008,0.0021468162536621093,0.0007701537547440867,20,5,100,"{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 100}",-1.2774214787042208,-0.9588524403903245,-1.5267821792332397,-1.063170642476304,-0.9456077902180741,-1.1543669062044324,0.22088847718528862,3
0.021953535079956055,0.0027474874065527384,0.001244974136352539,0.0004094067692454944,,2,50,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 50}",-1.3539863643664942,-0.979273189622992,-1.544039768971968,-1.2169412152797927,-0.9251772952918716,-1.2038835667066237,0.23088291457391424,12
0.04521656036376953,0.007390375800531187,0.002399110794067383,0.0010378235223135036,,2,100,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",-1.3531962751598594,-0.9785953434536239,-1.5461711116943175,-1.147805985334936,-0.9459112347599572,-1.1943359900805386,0.22779309470709666,10
0.021075868606567384,0.0026266546384413874,0.0010531425476074218,8.366248925109054e-05,,5,50,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 50}",-1.2713899752769509,-0.9512320487440072,-1.5161023109778418,-1.1288921882420717,-0.9656783736745174,-1.1666589793830777,0.210384182069665,6
0.037110185623168944,0.0026649673816036665,0.0017440319061279297,8.66069394857834e-05,,5,100,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}",-1.2774214787042208,-0.9588524403903245,-1.5267821792332397,-1.063170642476304,-0.9456077902180741,-1.1543669062044324,0.22088847718528862,3
