mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.0003816127777099609,7.312257009142954e-05,0.00016245841979980468,2.639912797146968e-05,5,2,"{'max_depth': 5, 'min_samples_split': 2}",-1.1677237149199868,-0.952231005238144,-1.7955939627551487,-1.122765486769539,-1.1711276230407535,-1.2418883585447145,0.28816280575106107,3
0.0002551555633544922,1.9793280115627794e-05,0.00011858940124511718,9.223564083576354e-06,5,5,"{'max_depth': 5, 'min_samples_split': 5}",-1.1677237149199868,-0.9298414196596906,-1.8039395429181566,-1.080505153702893,-1.1405468372122602,-1.2245113336825972,0.3011909886011818,2
0.00030117034912109376,6.289614067978259e-05,0.000135040283203125,2.144368033406054e-05,5,10,"{'max_depth': 5, 'min_samples_split': 10}",-1.1836260045293785,-0.9002749605851181,-1.7580684488497804,-1.0735748301793906,-1.1154343800894233,-1.2061957248466182,0.291371355210041,1
0.00029511451721191405,7.308841995051811e-06,0.00011544227600097656,2.753295904779825e-06,10,2,"{'max_depth': 10, 'min_samples_split': 2}",-1.5640650951399668,-1.282783562969481,-2.1465271075636347,-1.8395691202370505,-1.6197754449338433,-1.6905440661687954,0.288930011114491,10
0.000331878662109375,7.379076207366263e-05,0.00014052391052246093,4.521955155736351e-05,10,5,"{'max_depth': 10, 'min_samples_split': 5}",-1.5575959503870291,-1.123027417095259,-2.1021491297232537,-1.621632385979367,-1.307609860001958,-1.5424029486373736,0.3319119007240054,7
0.00035233497619628905,5.506600067789525e-05,0.00014972686767578125,2.7007258532741602e-05,10,10,"{'max_depth': 10, 'min_samples_split': 10}",-1.6054082589831775,-0.9032081054551966,-1.854723452430676,-1.4338820820243319,-1.205914735725054,-1.4006273269236873,0.32698112334812895,4
0.00037975311279296874,4.821962567284724e-05,0.0001404285430908203,2.1713637498104412e-05,20,2,"{'max_depth': 20, 'min_samples_split': 2}",-2.0020870087183598,-1.4286391883509988,-2.6247970706069768,-2.206160261926299,-1.6994625091611408,-1.992229207752755,0.41215332658348003,11
0.00031409263610839846,1.9342551227664373e-05,0.00012183189392089844,9.363508383662092e-06,20,5,"{'max_depth': 20, 'min_samples_split': 5}",-1.717982815803124,-1.2751277784311874,-2.2196663578927387,-1.6511531976432205,-1.456515360706663,-1.6640891020953865,0.31815585067109553,8
0.00029115676879882814,1.0594373088852265e-05,0.0001232624053955078,4.409132482744915e-06,20,10,"{'max_depth': 20, 'min_samples_split': 10}",-1.6541950543230293,-0.931020361500091,-1.875126398136697,-1.436040057220383,-1.2421616859163735,-1.427708711419315,0.3263970210803891,5
0.00036230087280273435,4.371236737326488e-05,0.00013151168823242188,2.0103422921316837e-05,,2,"{'max_depth': None, 'min_samples_split': 2}",-2.0020870087183598,-1.4286391883509988,-2.6247970706069768,-2.206160261926299,-1.6994625091611408,-1.992229207752755,0.41215332658348003,11
0.00030879974365234376,4.527191525046509e-06,0.00011835098266601562,1.239776611328125e-06,,5,"{'max_depth': None, 'min_samples_split': 5}",-1.717982815803124,-1.2751277784311874,-2.2196663578927387,-1.6511531976432205,-1.456515360706663,-1.6640891020953865,0.31815585067109553,8
0.00028667449951171877,2.2037203507527483e-05,0.0001140594482421875,1.1308784085382492e-05,,10,"{'max_depth': None, 'min_samples_split': 10}",-1.6541950543230293,-0.931020361500091,-1.875126398136697,-1.436040057220383,-1.2421616859163735,-1.427708711419315,0.3263970210803891,5
