Identifiant de document,Reference document,1 Articles CGI,2 Articles CGI,3 Articles CGI,4 Articles CGI,5 Articles CGI,No disposition,Date mutation,Nature mutation,Valeur fonciere,No voie,B/T/Q,Type de voie,Code voie,Voie,Code postal,Commune,Code departement,Code commune,Prefixe de section,Section,No plan,No Volume,1er lot,Surface Carrez du 1er lot,2eme lot,Surface Carrez du 2eme lot,3eme lot,Surface Carrez du 3eme lot,4eme lot,Surface Carrez du 4eme lot,5eme lot,Surface Carrez du 5eme lot,Nombre de lots,Code type local,Type local,Identifiant local,Surface reelle bati,Nombre pieces principales,Nature culture,Nature culture speciale,Surface terrain,prix_m2
,,,,,,,1,06/08/2024,Vente,411500.0,109.0,,RUE,6260,MAZARIN,33000.0,BORDEAUX,33,63,,EB,133,,,,,,,,,,,,0,1.0,Maison,,65.0,2.0,S,,188.0,6330.7692307692305
,,,,,,,1,05/08/2024,Vente,175000.0,5.0,,RUE,0980,BLANQUI,33300.0,BORDEAUX,33,63,,SA,23,,245,"42,40",,,,,,,,,1,2.0,Appartement,,42.0,2.0,,,,4166.666666666667
,,,,,,,1,05/08/2024,Vente,175000.0,5.0,,RUE,0980,BLANQUI,33300.0,BORDEAUX,33,63,,SA,23,,144,,,,,,,,,,1,3.0,Dépendance,,0.0,0.0,,,,inf
,,,,,,,1,02/08/2024,Vente,190000.0,19.0,,RUE,6885,DES PALANQUES,33000.0,BORDEAUX,33,63,,HI,49,,5,"43,30",,,,,,,,,1,2.0,Appartement,,48.0,2.0,,,,3958.3333333333335
,,,,,,,1,02/08/2024,Vente,190000.0,19.0,,RUE,6885,DES PALANQUES,33000.0,BORDEAUX,33,63,,HI,49,,5,"43,30",,,,,,,,,1,3.0,Dépendance,,0.0,0.0,,,,inf
,,,,,,,1,29/07/2024,Vente,594600.0,23.0,,RUE,3950,GENSAN,33000.0,BORDEAUX,33,63,,DO,22,,,,,,,,,,,,0,1.0,Maison,,164.0,3.0,S,,88.0,3625.609756097561
,,,,,,,1,19/07/2024,Vente,120000.0,35.0,,RUE,6690,NEUVE,33000.0,BORDEAUX,33,63,,HE,202,,7,,,,,,,,,,1,2.0,Appartement,,20.0,1.0,,,,6000.0
,,,,,,,1,19/07/2024,Vente,120000.0,35.0,,RUE,6690,NEUVE,33000.0,BORDEAUX,33,63,,HE,202,,12,,,,,,,,,,1,3.0,Dépendance,,0.0,0.0,,,,inf
,,,,,,,1,24/07/2024,Vente,16500.0,18.0,,RUE,6440,MONADEY,33800.0,BORDEAUX,33,63,,DC,247,,34,,,,,,,,,,1,3.0,Dépendance,,0.0,0.0,,,,inf
,,,,,,,1,30/07/2024,Vente,108000.0,68.0,,RUE,5495,LEYTEIRE,33000.0,BORDEAUX,33,63,,DR,251,,17,"27,97",,,,,,,,,1,2.0,Appartement,,27.0,2.0,,,,4000.0
,,,,,,,1,30/07/2024,Vente,82351.3,12.0,,RUE,1635,CASSIGNOL,33000.0,BORDEAUX,33,63,,OX,156,,9,"39,91",,,,,,,,,1,2.0,Appartement,,40.0,2.0,,,,2058.7825000000003
,,,,,,,1,25/07/2024,Vente,617000.0,246.0,,RUE,6825,D ORNANO,33000.0,BORDEAUX,33,63,,HT,67,,,,,,,,,,,,0,1.0,Maison,,150.0,5.0,S,,202.0,4113.333333333333
,,,,,,,1,25/07/2024,Vente,617000.0,246.0,,RUE,6825,D ORNANO,33000.0,BORDEAUX,33,63,,HT,67,,,,,,,,,,,,0,3.0,Dépendance,,0.0,0.0,S,,202.0,inf
,,,,,,,1,02/08/2024,Vente,440000.0,18.0,,RUE,4095,GOUBEAU,33800.0,BORDEAUX,33,63,,CR,113,,,,,,,,,,,,0,2.0,Appartement,,53.0,4.0,S,,137.0,8301.88679245283
,,,,,,,1,02/08/2024,Vente,440000.0,18.0,,RUE,4095,GOUBEAU,33800.0,BORDEAUX,33,63,,CR,113,,,,,,,,,,,,0,3.0,Dépendance,,0.0,0.0,S,,137.0,inf
,,,,,,,1,02/08/2024,Vente,440000.0,18.0,,RUE,4095,GOUBEAU,33800.0,BORDEAUX,33,63,,CR,113,,,,,,,,,,,,0,2.0,Appartement,,30.0,1.0,S,,137.0,14666.666666666666
,,,,,,,1,02/08/2024,Vente,440000.0,18.0,,RUE,4095,GOUBEAU,33800.0,BORDEAUX,33,63,,CR,113,,,,,,,,,,,,0,2.0,Appartement,,28.0,1.0,S,,137.0,15714.285714285714
,,,,,,,1,29/07/2024,Vente,155000.0,34.0,,RUE,5790,DE MACAU,33000.0,BORDEAUX,33,63,,OT,1,,768,,,,,,,,,,1,3.0,Dépendance,,0.0,0.0,,,,inf
,,,,,,,1,29/07/2024,Vente,155000.0,81.0,,RUE,7955,DE RIVIERE,33000.0,BORDEAUX,33,63,,OT,1,,720,,,,,,,,,,1,3.0,Dépendance,,0.0,0.0,,,,inf
,,,,,,,1,29/07/2024,Vente,155000.0,34.0,,RUE,5790,DE MACAU,33000.0,BORDEAUX,33,63,,OT,1,,754,"44,01",,,,,,,,,1,2.0,Appartement,,42.0,2.0,,,,3690.4761904761904
,,,,,,,1,18/07/2024,Vente,229000.0,140.0,,RUE,6745,NOTRE DAME,33300.0,BORDEAUX,33,63,,RE,83,,47,"39,07",,,,,,,,,1,2.0,Appartement,,40.0,2.0,,,,5725.0
,,,,,,,1,31/07/2024,Vente,452686.0,52.0,,RUE,4475,HUGUERIE,33000.0,BORDEAUX,33,63,,KW,60,,46,,,,,,,,,,1,3.0,Dépendance,,0.0,0.0,,,,inf
,,,,,,,1,31/07/2024,Vente,452686.0,52.0,,RUE,4475,HUGUERIE,33000.0,BORDEAUX,33,63,,KW,60,,144,"68,77",29,,,,,,,,2,3.0,Dépendance,,0.0,0.0,,,,inf
,,,,,,,1,31/07/2024,Vente,452686.0,52.0,,RUE,4475,HUGUERIE,33000.0,BORDEAUX,33,63,,KW,60,,144,"68,77",29,,,,,,,,2,2.0,Appartement,,65.0,3.0,,,,6964.4
,,,,,,,1,23/07/2024,Vente,30000.0,40.0,,RUE,1510,CAPDEVILLE,33000.0,BORDEAUX,33,63,,LD,144,,32,,,,,,,,,,1,3.0,Dépendance,,0.0,0.0,,,,inf
,,,,,,,1,30/07/2024,Vente,590000.0,13.0,,RUE,8860,DU TEMPLE,33000.0,BORDEAUX,33,63,,KN,69,,1,,2,"66,76",,,,,,,2,4.0,Local industriel. commercial ou assimilé,,120.0,0.0,,,,4916.666666666667
,,,,,,,1,29/07/2024,Vente,133000.0,92.0,,RUE,0755,DE BEGLES,33800.0,BORDEAUX,33,63,,CU,210,,5,"31,09",,,,,,,,,1,2.0,Appartement,,27.0,1.0,,,,4925.925925925926
,,,,,,,1,31/07/2024,Vente,186000.0,33.0,,RUE,0975,DE BLANQUEFORT,33000.0,BORDEAUX,33,63,,PB,112,,7,"42,04",,,,,,,,,1,2.0,Appartement,,45.0,2.0,,,,4133.333333333333
,,,,,,,1,02/08/2024,Vente,110500.0,68.0,,RUE,5495,LEYTEIRE,33000.0,BORDEAUX,33,63,,DR,251,,14,"21,58",,,,,,,,,1,2.0,Appartement,,22.0,1.0,,,,5022.727272727273
,,,,,,,1,31/07/2024,Vente,45000.0,143.0,,RUE,6875,DU PALAIS GALLIEN,33000.0,BORDEAUX,33,63,,KT,179,,694,,,,,,,,,,1,3.0,Dépendance,,0.0,0.0,,,,inf
,,,,,,,1,15/07/2024,Vente,159000.0,53.0,,RUE,8505,SANCHE DE POMIERS,33000.0,BORDEAUX,33,63,,DR,251,,8,"38,27",,,,,,,,,1,2.0,Appartement,,37.0,3.0,,,,4297.2972972972975
,,,,,,,1,30/07/2024,Vente,98823.0,4.0,,CRS,0595,BARBEY,33800.0,BORDEAUX,33,63,,CZ,120,,3017,,,,,,,,,,1,2.0,Appartement,,26.0,2.0,,,,3800.8846153846152
,,,,,,,1,31/07/2024,Vente,220400.0,23.0,,CRS,6980,PASTEUR,33000.0,BORDEAUX,33,63,,HI,87,,27,,,,,,,,,,1,2.0,Appartement,,42.0,2.0,,,,5247.619047619048
,,,,,,,1,31/07/2024,Vente,220400.0,23.0,,CRS,6980,PASTEUR,33000.0,BORDEAUX,33,63,,HI,87,,6,,,,,,,,,,1,3.0,Dépendance,,0.0,0.0,,,,inf
,,,,,,,1,31/07/2024,Vente,240900.0,29.0,,RUE,3290,DES ETRANGERS,33300.0,BORDEAUX,33,63,,SA,23,,263,,,,,,,,,,1,2.0,Appartement,,66.0,3.0,,,,3650.0
,,,,,,,1,31/07/2024,Vente,240900.0,5.0,,RUE,0980,BLANQUI,33300.0,BORDEAUX,33,63,,SA,23,,112,,,,,,,,,,1,3.0,Dépendance,,0.0,0.0,,,,inf
,,,,,,,1,30/07/2024,Vente,514000.0,28.0,,RUE,6170,MAUBOURGUET,33000.0,BORDEAUX,33,63,,PC,130,,16,,,,,,,,,,1,2.0,Appartement,,110.0,4.0,,,,4672.727272727273
,,,,,,,1,30/07/2024,Vente,514000.0,28.0,,RUE,6170,MAUBOURGUET,33000.0,BORDEAUX,33,63,,PC,130,,4,,,,,,,,,,1,3.0,Dépendance,,0.0,0.0,,,,inf
,,,,,,,1,30/07/2024,Vente,514000.0,28.0,,RUE,6170,MAUBOURGUET,33000.0,BORDEAUX,33,63,,PC,130,,14,,,,,,,,,,1,3.0,Dépendance,,0.0,0.0,,,,inf
,,,,,,,1,06/08/2024,Vente,326418.0,60.0,,AV,3140,EMILE COUNORD,33300.0,BORDEAUX,33,63,,RC,104,,133,,,,,,,,,,1,3.0,Dépendance,,0.0,0.0,,,,inf
,,,,,,,1,06/08/2024,Vente,326418.0,60.0,,AV,3140,EMILE COUNORD,33300.0,BORDEAUX,33,63,,RC,104,,68,"57,77",,,,,,,,,1,2.0,Appartement,,57.0,3.0,,,,5726.631578947368
,,,,,,,1,23/07/2024,Vente,228000.0,26.0,,RUE,4810,JUDAIQUE,33000.0,BORDEAUX,33,63,,KD,38,,19,,,,,,,,,,1,3.0,Dépendance,,0.0,0.0,,,,inf
,,,,,,,1,23/07/2024,Vente,228000.0,26.0,,RUE,4810,JUDAIQUE,33000.0,BORDEAUX,33,63,,KD,38,,6,"57,39",,,,,,,,,1,2.0,Appartement,,61.0,3.0,,,,3737.7049180327867
,,,,,,,1,30/07/2024,Vente,40000.0,26.0,,RUE,1975,CHARLES PUYO,33300.0,BORDEAUX,33,63,,RL,83,,21,,,,,,,,,,1,3.0,Dépendance,,0.0,0.0,,,,inf
,,,,,,,1,29/07/2024,Vente,300000.0,138.0,,CRS,0570,BALGUERIE STUTTENBERG,33300.0,BORDEAUX,33,63,,RP,68,,12,,,,,,,,,,1,3.0,Dépendance,,0.0,0.0,,,,inf
