mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.017461156845092772,0.0023581861815390546,0.0020130157470703127,0.0006616631891534722,10,2,50,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 50}",-0.588442138490682,-0.6509277704776986,-1.0393532696925496,-0.6168292154561553,-2.448837730296099,-1.0688780248826368,0.709226294200676,1
0.03420758247375488,0.0036881377032154253,0.0021863460540771486,0.0008568274197953006,10,2,100,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}",-0.4439215429037941,-0.7681743943707249,-1.2873832593468666,-0.5221907446998694,-2.382444156997157,-1.0808228196636827,0.714471467645673,4
0.0187349796295166,0.004121423713162188,0.0009891510009765625,0.00010768387266210696,10,5,50,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 50}",-0.903165105055337,-1.0695112510423024,-1.0549052125586533,-0.8218130465398366,-2.5155261529661153,-1.2729841536324489,0.6282024774389362,10
0.03758502006530762,0.004584214729456567,0.0025545597076416016,0.0007975231491762415,10,5,100,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}",-0.750145734840914,-1.1914968387323013,-1.144923208364735,-0.7749842995201903,-2.4318412499164044,-1.258678266274909,0.6142198519414701,7
0.02086043357849121,0.0030717457681751843,0.001133298873901367,0.00043413507020988217,20,2,50,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 50}",-0.588442138490682,-0.6509277704776986,-1.0393532696925496,-0.6168292154561553,-2.448837730296099,-1.0688780248826368,0.709226294200676,1
0.03712868690490723,0.0028413059238852367,0.002461147308349609,0.001871917387881339,20,2,100,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 100}",-0.4439215429037941,-0.7681743943707249,-1.2873832593468666,-0.5221907446998694,-2.382444156997157,-1.0808228196636827,0.714471467645673,4
0.017898368835449218,0.0018651657994830314,0.0021280765533447264,0.0009250046942020098,20,5,50,"{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 50}",-0.903165105055337,-1.0695112510423024,-1.0549052125586533,-0.8218130465398366,-2.5155261529661153,-1.2729841536324489,0.6282024774389362,10
0.035668802261352536,0.001376608332106416,0.002088642120361328,0.0011323698744894791,20,5,100,"{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 100}",-0.750145734840914,-1.1914968387323013,-1.144923208364735,-0.7749842995201903,-2.4318412499164044,-1.258678266274909,0.6142198519414701,7
0.019424962997436523,0.004077111083486148,0.0013813495635986329,0.0005746955178860434,,2,50,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 50}",-0.588442138490682,-0.6509277704776986,-1.0393532696925496,-0.6168292154561553,-2.448837730296099,-1.0688780248826368,0.709226294200676,1
0.03469748497009277,0.006797979412240223,0.0021656036376953127,0.0012448188911483096,,2,100,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",-0.4439215429037941,-0.7681743943707249,-1.2873832593468666,-0.5221907446998694,-2.382444156997157,-1.0808228196636827,0.714471467645673,4
0.01926431655883789,0.004369198448386034,0.0010021209716796875,0.00024676916787930685,,5,50,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 50}",-0.903165105055337,-1.0695112510423024,-1.0549052125586533,-0.8218130465398366,-2.5155261529661153,-1.2729841536324489,0.6282024774389362,10
0.030612754821777343,0.0017552828880064556,0.0014388561248779297,6.865511273052309e-05,,5,100,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}",-0.750145734840914,-1.1914968387323013,-1.144923208364735,-0.7749842995201903,-2.4318412499164044,-1.258678266274909,0.6142198519414701,7
