mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.0005772590637207031,0.00023511657093258967,0.00027589797973632814,0.00011713525900966351,5,2,"{'max_depth': 5, 'min_samples_split': 2}",-0.4650806446979437,-0.49602220385786217,-2.1614867787404193,-0.5688144829009972,-4.090842671785299,-1.5564493563965043,1.4198756152272107,5
0.0009304046630859375,0.0005853725978561144,0.00038156509399414065,0.00021020145868658852,5,5,"{'max_depth': 5, 'min_samples_split': 5}",-0.18599840792271582,-0.7437596855333052,-1.9548490165662222,-0.7411652789717222,-4.281306350261166,-1.5814157478510262,1.4685870592462693,9
0.00034198760986328127,9.983387341613737e-05,0.00017414093017578124,3.706978806695884e-05,5,10,"{'max_depth': 5, 'min_samples_split': 10}",-0.9595313486194862,-2.1441081775336097,-0.9367983141795384,-1.230215324223732,-2.494930163383209,-1.5531166655879152,0.64385413672342,1
0.00025238990783691404,5.365352549215299e-05,0.0001457691192626953,3.1342604706779976e-05,10,2,"{'max_depth': 10, 'min_samples_split': 2}",-0.4650806446979437,-0.49602220385786217,-2.1614867787404193,-0.5688144829009972,-4.090842671785299,-1.5564493563965043,1.4198756152272107,5
0.00020456314086914062,8.842726219041699e-06,0.00011997222900390625,2.5069121223630745e-06,10,5,"{'max_depth': 10, 'min_samples_split': 5}",-0.18599840792271582,-0.7437596855333052,-1.9548490165662222,-0.7411652789717222,-4.281306350261166,-1.5814157478510262,1.4685870592462693,9
0.00019235610961914061,3.3358158936295893e-06,0.00011415481567382813,2.293780035172595e-06,10,10,"{'max_depth': 10, 'min_samples_split': 10}",-0.9595313486194862,-2.1441081775336097,-0.9367983141795384,-1.230215324223732,-2.494930163383209,-1.5531166655879152,0.64385413672342,1
0.00019402503967285155,2.1610773455857583e-06,0.00011181831359863281,1.3317337077874127e-06,20,2,"{'max_depth': 20, 'min_samples_split': 2}",-0.4650806446979437,-0.49602220385786217,-2.1614867787404193,-0.5688144829009972,-4.090842671785299,-1.5564493563965043,1.4198756152272107,5
0.00019068717956542968,2.3282157165019422e-06,0.00011191368103027343,2.130347051972263e-06,20,5,"{'max_depth': 20, 'min_samples_split': 5}",-0.18599840792271582,-0.7437596855333052,-1.9548490165662222,-0.7411652789717222,-4.281306350261166,-1.5814157478510262,1.4685870592462693,9
0.00018949508666992186,1.0598235497900424e-06,0.00011162757873535156,1.33514404296875e-06,20,10,"{'max_depth': 20, 'min_samples_split': 10}",-0.9595313486194862,-2.1441081775336097,-0.9367983141795384,-1.230215324223732,-2.494930163383209,-1.5531166655879152,0.64385413672342,1
0.00019478797912597656,2.3457286598680196e-06,0.00011363029479980469,2.5393537436855976e-06,,2,"{'max_depth': None, 'min_samples_split': 2}",-0.4650806446979437,-0.49602220385786217,-2.1614867787404193,-0.5688144829009972,-4.090842671785299,-1.5564493563965043,1.4198756152272107,5
0.00019440650939941406,1.4273290202232136e-06,0.00011339187622070313,9.841808052325389e-07,,5,"{'max_depth': None, 'min_samples_split': 5}",-0.18599840792271582,-0.7437596855333052,-1.9548490165662222,-0.7411652789717222,-4.281306350261166,-1.5814157478510262,1.4685870592462693,9
0.00019283294677734374,1.5771708878079632e-06,0.00011286735534667968,1.4896869041264828e-06,,10,"{'max_depth': None, 'min_samples_split': 10}",-0.9595313486194862,-2.1441081775336097,-0.9367983141795384,-1.230215324223732,-2.494930163383209,-1.5531166655879152,0.64385413672342,1
